age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preferred_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Female,More than 2 years,Smart speakers or voice assistants,Free,Yes,Family Plan,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok
20-35,Male,More than 2 years,Computer or laptop,Free,Yes,Individual Plan,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2,Several times a week,Comedy,Interview,Both,None,Satisfied
35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Student Plan,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4,Once a week,Sports,Interview,None,Both,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Individual Plan,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Several times a week,Comedy,Interview,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,Yes,Free,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2,Never,None,None,None,None,Very Dissatisfied
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Individual Plan,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Social gatherings or parties,Social gatherings ,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,None,None,None,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Individual Plan,Yes,Individual Plan,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Family Plan,Yes,Family Plan,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,None,None,None,None,Ok
20-35,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Student Plan,Yes,Student Plan,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
35-60,Male,Less than 6 months,Smartphone,Free,No,Free,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,None,None,None,None,Very Dissatisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free,No,Free,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free,Yes,Free,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok
